"host_since","host_response_time","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_group_cleansed","latitude","longitude","bathrooms_text","accommodates","price","minimum_nights","availability_365","review_scores_rating","instant_bookable","reviews_per_month","room_typeEntire home/apt","room_typeHotel room","room_typePrivate room","room_typeShared room","neighbourhood_group_cleansedBronx","neighbourhood_group_cleansedBrooklyn","neighbourhood_group_cleansedManhattan","neighbourhood_group_cleansedQueens","neighbourhood_group_cleansedStaten Island","price_log"
3294,3,0,2,1,1,"Manhattan",40.79643,-73.94781,1,2,225,30,60,4.75,0,0.06,1,0,0,0,0,0,1,0,0,5.41610040220442
3562,0,0,1,1,0,"Manhattan",40.75411,-73.97465,1,2,169,30,0,4.75,1,0.07,1,0,0,0,0,0,1,0,0,5.12989871492307
3952,0,0,1,1,1,"Brooklyn",40.71041,-73.9597,1,3,128,30,0,4.91,0,0.16,1,0,0,0,0,1,0,0,0,4.85203026391962
3588,3,0,1,1,1,"Manhattan",40.71329,-73.9862,1,1,48,30,90,4.55,1,2.91,0,0,1,0,0,0,1,0,0,3.87120101090789
4176,4,0,10,1,1,"Queens",40.76676,-73.91276,1,2,40,1,243,4.68,0,0.23,0,0,1,0,0,0,0,1,0,3.68887945411394
4176,4,0,10,1,1,"Queens",40.76477,-73.91517,1,2,99,30,295,5,1,0.04,0,0,1,0,0,0,0,1,0,4.59511985013459
3375,2,0,2,1,1,"Brooklyn",40.6763,-73.95903,1,4,95,2,0,4.75,1,0.3,1,0,0,0,0,1,0,0,0,4.55387689160054
2775,0,0,2,1,1,"Manhattan",40.72856,-73.99972,1,2,39,90,0,4.67,0,0.05,1,0,0,0,0,0,1,0,0,3.66356164612965
3172,0,0,2,1,1,"Manhattan",40.72831,-73.98481,1,2,125,30,0,4.5,0,0.02,0,0,1,0,0,0,1,0,0,4.8283137373023
3231,0,0,1,1,1,"Brooklyn",40.67105,-73.94737,1,2,157,30,0,5,0,0.02,0,0,1,0,0,1,0,0,0,5.05624580534831
3060,3,1,3,1,1,"Manhattan",40.76507,-73.96606,1,2,161,1,327,4.72,0,1,0,0,1,0,0,0,1,0,0,5.08140436498446
3618,0,0,1,1,0,"Brooklyn",40.72608,-73.9553,1,2,68,30,0,0,0,0.03,1,0,0,0,0,1,0,0,0,4.21950770517611
2876,0,0,1,1,1,"Manhattan",40.71787,-74.01051,1,2,127,30,0,5,0,0.02,0,0,1,0,0,0,1,0,0,4.84418708645859
2773,0,0,1,1,0,"Manhattan",40.71239,-74.00497,1,2,150,30,0,0,0,0,1,0,0,0,0,0,1,0,0,5.01063529409626
3188,0,0,1,1,1,"Manhattan",40.79893,-73.96769,1,4,150,30,0,0,0,0.01,1,0,0,0,0,0,1,0,0,5.01063529409626
